,SampleCount
2018-12-20 16:29:00,246321.0
2018-12-20 16:34:00,243753.0
2018-12-20 16:37:00,244140.0
2018-12-20 16:39:00,245654.0
2018-12-20 16:42:00,244836.0
2018-12-20 16:44:00,245658.0
2018-12-20 16:47:00,246133.0
2018-12-20 16:49:00,244823.0
2018-12-20 16:52:00,244448.0
2018-12-20 16:54:00,244622.0
2018-12-20 16:57:00,243857.0
2018-12-20 16:59:00,242671.0
2018-12-20 17:02:00,239699.0
2018-12-20 17:04:00,238593.0
2018-12-20 17:07:00,239834.0
2018-12-20 17:09:00,239245.0
2018-12-20 17:12:00,240065.0
2018-12-20 17:14:00,241409.0
2018-12-20 17:17:00,239830.0
2018-12-20 17:19:00,239405.0
2018-12-20 17:22:00,237732.0
2018-12-20 17:24:00,234782.0
2018-12-20 17:27:00,232476.0
2018-12-20 17:29:00,230434.0
2018-12-20 17:32:00,227078.0
2018-12-20 17:34:00,226318.0
2018-12-20 17:37:00,223758.0
2018-12-20 17:39:00,222157.0
2018-12-20 17:42:00,220384.0
2018-12-20 17:44:00,218688.0
2018-12-20 17:47:00,216684.0
2018-12-20 17:49:00,215436.0
2018-12-20 17:52:00,212594.0
2018-12-20 17:54:00,210717.0
2018-12-20 17:57:00,207340.0
2018-12-20 17:59:00,204010.0
2018-12-20 18:02:00,199348.0
2018-12-20 18:04:00,196344.0
2018-12-20 18:07:00,192786.0
2018-12-20 18:09:00,191093.0
2018-12-20 18:12:00,187383.0
2018-12-20 18:14:00,185166.0
2018-12-20 18:17:00,181870.0
2018-12-20 18:19:00,178972.0
2018-12-20 18:22:00,175283.0
2018-12-20 18:24:00,173645.0
2018-12-20 18:27:00,170439.0
2018-12-20 18:29:00,167726.0
2018-12-20 18:32:00,163089.0
2018-12-20 18:34:00,160249.0
2018-12-20 18:37:00,157229.0
2018-12-20 18:39:00,155521.0
2018-12-20 18:42:00,152459.0
2018-12-20 18:44:00,151015.0
2018-12-20 18:47:00,148448.0
2018-12-20 18:49:00,145993.0
2018-12-20 18:52:00,143525.0
2018-12-20 18:54:00,142279.0
2018-12-20 18:57:00,139427.0
2018-12-20 18:59:00,137365.0
2018-12-20 19:02:00,134648.0
2018-12-20 19:04:00,131473.0
2018-12-20 19:07:00,128789.0
2018-12-20 19:09:00,128205.0
2018-12-20 19:12:00,125650.0
2018-12-20 19:14:00,123688.0
2018-12-20 19:17:00,120744.0
2018-12-20 19:19:00,118523.0
2018-12-20 19:22:00,115577.0
2018-12-20 19:24:00,114004.0
2018-12-20 19:27:00,110897.0
2018-12-20 19:29:00,108859.0
2018-12-20 19:32:00,105915.0
2018-12-20 19:34:00,103668.0
2018-12-20 19:37:00,101101.0
2018-12-20 19:39:00,100008.0
2018-12-20 19:42:00,97143.0
2018-12-20 19:44:00,95210.0
2018-12-20 19:47:00,93890.0
2018-12-20 19:49:00,92529.0
2018-12-20 19:52:00,90109.0
2018-12-20 19:54:00,89030.0
2018-12-20 19:57:00,87442.0
2018-12-20 19:59:00,86453.0
2018-12-20 20:02:00,84277.0
2018-12-20 20:04:00,82787.0
2018-12-20 20:07:00,81721.0
2018-12-20 20:09:00,81079.0
2018-12-20 20:12:00,79746.0
2018-12-20 20:14:00,78513.0
2018-12-20 20:17:00,76911.0
2018-12-20 20:19:00,76181.0
2018-12-20 20:22:00,74978.0
2018-12-20 20:24:00,73646.0
2018-12-20 20:27:00,71947.0
2018-12-20 20:29:00,71030.0
2018-12-20 20:32:00,69358.0
2018-12-20 20:34:00,68128.0
2018-12-20 20:37:00,66675.0
2018-12-20 20:39:00,65871.0
2018-12-20 20:42:00,64959.0
2018-12-20 20:44:00,64561.0
2018-12-20 20:47:00,63314.0
2018-12-20 20:49:00,62694.0
2018-12-20 20:52:00,61625.0
2018-12-20 20:54:00,60647.0
2018-12-20 20:57:00,59834.0
2018-12-20 20:59:00,59697.0
2018-12-20 21:02:00,59076.0
2018-12-20 21:04:00,58321.0
2018-12-20 21:07:00,58065.0
2018-12-20 21:09:00,58033.0
2018-12-20 21:12:00,57562.0
2018-12-20 21:14:00,57483.0
2018-12-20 21:17:00,56683.0
2018-12-20 21:19:00,55801.0
2018-12-20 21:22:00,55065.0
2018-12-20 21:24:00,54261.0
2018-12-20 21:27:00,53404.0
2018-12-20 21:29:00,52987.0
2018-12-20 21:32:00,51930.0
2018-12-20 21:34:00,51577.0
2018-12-20 21:37:00,50637.0
2018-12-20 21:39:00,49849.0
2018-12-20 21:42:00,48858.0
2018-12-20 21:44:00,48456.0
2018-12-20 21:47:00,47856.0
2018-12-20 21:49:00,47217.0
2018-12-20 21:52:00,46590.0
2018-12-20 21:54:00,46218.0
2018-12-20 21:57:00,45178.0
2018-12-20 21:59:00,44428.0
2018-12-20 22:02:00,43989.0
2018-12-20 22:04:00,43677.0
2018-12-20 22:07:00,43139.0
2018-12-20 22:09:00,42769.0
2018-12-20 22:12:00,42323.0
2018-12-20 22:14:00,42218.0
2018-12-20 22:17:00,41235.0
2018-12-20 22:19:00,40514.0
2018-12-20 22:22:00,39802.0
2018-12-20 22:24:00,38925.0
2018-12-20 22:27:00,38049.0
2018-12-20 22:29:00,37700.0
2018-12-20 22:32:00,36640.0
2018-12-20 22:34:00,36346.0
2018-12-20 22:37:00,35435.0
2018-12-20 22:39:00,34523.0
2018-12-20 22:42:00,33743.0
2018-12-20 22:44:00,33335.0
2018-12-20 22:47:00,32619.0
2018-12-20 22:49:00,31637.0
2018-12-20 22:52:00,30931.0
2018-12-20 22:54:00,30901.0
2018-12-20 22:57:00,29920.0
2018-12-20 22:59:00,29386.0
2018-12-20 23:02:00,28478.0
2018-12-20 23:04:00,27597.0
2018-12-20 23:07:00,27001.0
2018-12-20 23:09:00,26772.0
2018-12-20 23:12:00,26003.0
2018-12-20 23:14:00,25409.0
2018-12-20 23:17:00,24614.0
2018-12-20 23:19:00,24230.0
2018-12-20 23:22:00,23569.0
2018-12-20 23:24:00,23032.0
2018-12-20 23:27:00,22290.0
2018-12-20 23:29:00,21690.0
2018-12-20 23:32:00,20929.0
2018-12-20 23:34:00,20579.0
